time,seconds_elapsed,z,y,x
1712835419233858000,0.092858154296875,0.05374336242675781,-0.3565549850463867,0.08530354499816895
1712835419255858200,0.114858154296875,0.20895957946777344,-0.25304508209228516,0.3265089988708496
1712835419275858200,0.134858154296875,0.16655254364013672,-0.05371522903442383,-0.5587894916534424
1712835419295858200,0.154858154296875,0.017629146575927734,-0.21184110641479492,-0.36159276962280273
1712835419315858200,0.174858154296875,-0.19808530807495117,-0.18125438690185547,-0.23911356925964355
1712835419335858200,0.194858154296875,0.05112791061401367,-0.19372272491455078,-0.3867161273956299
1712835419355858200,0.214858154296875,0.2395915985107422,-0.26570987701416016,0.2513394355773926
1712835419375858200,0.234858154296875,0.11071538925170898,-0.24819421768188477,-0.022000789642333984
1712835419395858200,0.254858154296875,0.04057884216308594,-0.2233290672302246,-0.29912686347961426
1712835419415858200,0.274858154296875,0.059322357177734375,-0.35721445083618164,0.17999696731567383
1712835419435858200,0.294858154296875,-0.03292083740234375,-0.595090389251709,0.8355610370635986
1712835419455858200,0.314858154296875,-0.2803339958190918,-0.5896635055541992,1.9583237171173096
1712835419475858200,0.334858154296875,-0.4727168083190918,-0.6307916641235352,3.239032745361328
1712835419495858200,0.354858154296875,-0.35620546340942383,-0.9110245704650879,3.2917516231536865
1712835419515858200,0.374858154296875,-0.23030328750610352,-0.7256021499633789,2.363781452178955
1712835419535858200,0.394858154296875,0.7956595420837402,-1.7766661643981934,3.0101122856140137
1712835419555858200,0.414858154296875,-1.5933794975280762,1.1810450553894043,4.8040337562561035
1712835419575858200,0.434858154296875,-2.905128002166748,2.687213897705078,2.993422031402588
1712835419595858200,0.454858154296875,-1.8804476261138916,3.1968607902526855,0.4948921203613281
1712835419615858200,0.474858154296875,-3.139937400817871,1.368772029876709,-2.0718588829040527
1712835419635858700,0.494858642578125,-2.0235655307769775,0.3604907989501953,-1.4397554397583008
1712835419655858700,0.514858642578125,-0.889214277267456,0.18001890182495117,1.03078031539917
1712835419675858700,0.534858642578125,-0.10976552963256836,0.395444393157959,2.7993826866149902
1712835419695858700,0.554858642578125,-0.12826013565063477,1.0563359260559082,2.6650643348693848
1712835419715858700,0.574858642578125,-1.0355703830718994,1.5188074111938477,1.0115835666656494
1712835419735858700,0.594858642578125,-1.9346458911895752,1.3803458213806152,-0.20467758178710938
1712835419755858700,0.614858642578125,-1.2796943187713623,1.434260368347168,0.02113199234008789
1712835419775858700,0.634858642578125,-1.0992720127105713,1.1797122955322266,-0.31564974784851074
1712835419795858700,0.654858642578125,-2.659580707550049,5.390957832336426,-0.5851857662200928
1712835419815858700,0.674858642578125,-2.1324243545532227,3.2293338775634766,-4.380664825439453
1712835419835858700,0.694858642578125,-2.0089025497436523,3.0673179626464844,-4.706419944763184
1712835419855858700,0.714858642578125,-0.47501683235168457,1.89990234375,-3.692885160446167
1712835419875858700,0.734858642578125,-0.5202937126159668,2.68546199798584,-3.05010986328125
1712835419895858700,0.754858642578125,0.4597032070159912,2.423494338989258,-3.0812292098999023
1712835419915858700,0.774858642578125,-0.6506977081298828,1.0835933685302734,-3.371795892715454
1712835419935858700,0.794858642578125,-1.9290771484375,-0.03719902038574219,-3.518371105194092
1712835419955858700,0.814858642578125,-2.2163991928100586,-0.9709253311157227,-3.420240879058838
1712835419975858700,0.834858642578125,-0.8658294677734375,-0.8916969299316406,-2.7099015712738037
1712835419995858700,0.854858642578125,-0.7843019962310791,-0.9183235168457031,-3.0074102878570557
1712835420015858700,0.874858642578125,-1.4458526372909546,-0.7042350769042969,1.5160470008850098
1712835420035858700,0.894858642578125,-1.4427822828292847,-0.7046632766723633,1.5006847381591797
1712835420055858700,0.914858642578125,-0.7758219242095947,-1.9018735885620117,0.22416402399539948
1712835420075858700,0.934858642578125,-0.8699545860290527,-1.1861600875854492,-3.1808385848999023
1712835420095858700,0.954858642578125,-0.7737717628479004,-1.753171443939209,-5.106500148773193
1712835420115858700,0.974858642578125,-0.7971985340118408,-1.7227578163146973,-4.721451282501221
1712835420135859000,0.99485888671875,-0.10193037986755371,-1.163386344909668,-5.245675086975098
1712835420155859000,1.01485888671875,-0.7097985744476318,0.08102798461914062,-5.131573677062988
1712835420175859000,1.03485888671875,-0.8550634384155273,-0.7244501113891602,-6.5027384757995605
1712835420195859000,1.05485888671875,-0.5007603168487549,-1.8948206901550293,-5.638586044311523
1712835420215859000,1.07485888671875,-2.422804832458496,-2.5382533073425293,-3.532365322113037
1712835420235858700,1.094858642578125,-3.4464268684387207,-2.706207275390625,0.450036883354187
1712835420255858700,1.114858642578125,-3.5382401943206787,-3.596076011657715,2.7351226806640625
1712835420275858700,1.134858642578125,-4.212850093841553,-3.9872846603393555,1.8192745447158813
1712835420295858700,1.154858642578125,-4.054740905761719,-4.0633649826049805,1.629751205444336
1712835420315858700,1.174858642578125,-4.969655990600586,-3.014103889465332,0.420293927192688
1712835420335858700,1.194858642578125,-3.292576313018799,-2.3360018730163574,-0.43277621269226074
1712835420355858700,1.214858642578125,-1.099169135093689,-1.7404117584228516,-0.9982360601425171
1712835420375858700,1.234858642578125,-0.923385500907898,-1.752157211303711,-0.8920530080795288
1712835420395858700,1.254858642578125,1.304750919342041,1.3725652694702148,0.9256448745727539
1712835420415858700,1.274858642578125,1.966721773147583,2.4162158966064453,1.3415300846099854
1712835420435858700,1.294858642578125,1.989841341972351,2.4657983779907227,1.5664777755737305
1712835420455858700,1.314858642578125,4.456905364990234,3.6834850311279297,2.0770151615142822
1712835420475858700,1.334858642578125,4.318958282470703,3.9830732345581055,5.65919303894043
