time,seconds_elapsed,z,y,x
1712835419193901800,0.05290185546875,-0.008704829961061478,0.07872525602579117,0.0417679101228714
1712835419215858200,0.074858154296875,-0.00931569468230009,0.08544477820396423,0.033826664090156555
1712835419235858200,0.094858154296875,0.022449297830462456,0.09582948684692383,0.039324451237916946
1712835419255858200,0.114858154296875,0.03039054572582245,0.2491566687822342,0.03321579843759537
1712835419275858200,0.134858154296875,-0.009926560334861279,0.29619327187538147,-0.02054034359753132
1712835419295858200,0.154858154296875,0.02733621932566166,0.20028744637966156,0.01488984003663063
1712835419315858200,0.174858154296875,0.0377209298312664,0.07261660695075989,0.057650405913591385
1712835419335858200,0.194858154296875,0.01572977937757969,0.023747386410832405,0.04604396969079971
1712835419355858200,0.214858154296875,0.0377209298312664,0.03413209691643715,0.03260493278503418
1712835419375858200,0.234858154296875,0.013286318629980087,0.09399688988924026,0.025274548679590225
1712835419395858200,0.254858154296875,0.021838432177901268,0.024358252063393593,0.02710714563727379
1712835419415858200,0.274858154296875,0.06887505948543549,-0.0037415495608001947,0.04787656292319298
1712835419435858200,0.294858154296875,0.11591167747974396,0.03901901841163635,0.0771980956196785
1712835419455858200,0.314858154296875,0.23197607696056366,0.2699260711669922,0.14866933226585388
1712835419475858200,0.334858154296875,0.27779096364974976,0.8679631352424622,0.12973250448703766
1712835419495858200,0.354858154296875,0.2967278063297272,1.473941445350647,0.1578323096036911
1712835419515858200,0.374858154296875,0.5410739183425903,2.0432679653167725,0.11140654981136322
1712835419535858200,0.394858154296875,1.371850609779358,2.9504027366638184,-0.09750936180353165
1712835419555858200,0.414858154296875,1.8849774599075317,3.8544833660125732,-0.11278099566698074
1712835419575858200,0.434858154296875,2.3400721549987793,3.973602056503296,-0.1506546437740326
1712835419595858200,0.454858154296875,2.1335995197296143,4.165413856506348,-0.2911536395549774
1712835419615858200,0.474858154296875,1.4549282789230347,3.6070828437805176,-0.180587038397789
1712835419635858700,0.494858642578125,1.6491833925247192,2.388406753540039,-0.36018142104148865
1712835419655858700,0.514858642578125,2.138486623764038,1.6791921854019165,-0.391946405172348
1712835419675858700,0.534858642578125,2.3944389820098877,1.616273045539856,-0.3259729743003845
1712835419695858700,0.554858642578125,2.523942470550537,1.9406424760818481,-0.32902729511260986
1712835419715858700,0.574858642578125,2.671160936355591,2.505082130432129,-0.3357468247413635
1712835419735858700,0.594858642578125,2.928946018218994,2.6999480724334717,-0.36140313744544983
1712835419755858700,0.614858642578125,3.297297954559326,2.756758451461792,-0.3571271002292633
1712835419775858700,0.634858642578125,3.520263671875,3.2246813774108887,-0.3876703679561615
1712835419795858700,0.654858642578125,3.324786901473999,3.5557701587677,-0.43043091893196106
1712835419815858700,0.674858642578125,3.0663907527923584,3.460475206375122,-0.4799109995365143
1712835419835858700,0.694858642578125,3.1525228023529053,3.159318685531616,-0.6185774207115173
1712835419855858700,0.714858642578125,3.0358476638793945,2.6797895431518555,-0.6002514362335205
1712835419875858700,0.734858642578125,2.984534978866577,1.9363664388656616,-0.6320164799690247
1712835419895858700,0.754858642578125,2.7707319259643555,1.3926963806152344,-0.586812436580658
1712835419915858700,0.774858642578125,2.5276076793670654,0.7384597063064575,-0.41088324785232544
1712835419935858700,0.794858642578125,2.2881484031677246,-0.16745343804359436,-0.15859588980674744
1712835419955858700,0.814858642578125,1.9814941883087158,-0.8216901421546936,0.09674578160047531
1712835419975858700,0.834858642578125,1.504408359527588,-0.8833875060081482,0.39240455627441406
1712835419995858700,0.854858642578125,1.023046612739563,-0.21449005603790283,0.4205043613910675
1712835420015858700,0.874858642578125,0.537408709526062,0.7690029740333557,0.17127133905887604
1712835420035858700,0.894858642578125,0.10797043144702911,1.933312177658081,-0.29359710216522217
1712835420055858700,0.914858642578125,-0.13698652386665344,2.79524302482605,-0.5538256764411926
1712835420075858700,0.934858642578125,-0.5768095254898071,3.0395891666412354,-0.3418554663658142
1712835420095858700,0.954858642578125,-0.9909761548042297,3.049973726272583,-0.3381902575492859
1712835420115858700,0.974858642578125,-1.152855396270752,2.404900074005127,-0.09934195876121521
1712835420135859000,0.99485888671875,-1.494939923286438,1.5014303922653198,0.30566170811653137
1712835420155859000,1.01485888671875,-1.923767328262329,0.7128033638000488,0.6251442432403564
1712835420175859000,1.03485888671875,-2.015397071838379,-0.21265746653079987,0.7118870615959167
1712835420195859000,1.05485888671875,-1.285413146018982,-1.4606552124023438,0.9030879139900208
1712835420215859000,1.07485888671875,-0.6214026808738708,-2.207132577896118,1.268996238708496
1712835420235858700,1.094858642578125,0.09941831976175308,-2.5742626190185547,1.1181124448776245
1712835420255858700,1.114858642578125,0.3474296033382416,-2.7752370834350586,1.2286790609359741
1712835420275858700,1.134858642578125,0.2765692472457886,-3.1099913120269775,1.4339298009872437
1712835420295858700,1.154858642578125,-0.0025961773935705423,-3.194901704788208,1.5286139249801636
1712835420315858700,1.174858642578125,-0.35934147238731384,-2.938338279724121,1.5005141496658325
1712835420335858700,1.194858642578125,-0.6495024561882019,-3.0800588130950928,1.4430928230285645
1712835420355858700,1.214858642578125,-0.956156849861145,-2.994537830352783,1.4479796886444092
1712835420375858700,1.234858642578125,-1.297019600868225,-2.394057273864746,1.2335660457611084
1712835420395858700,1.254858642578125,-1.4424055814743042,-1.7276033163070679,0.8145124316215515
1712835420415858700,1.274858642578125,-1.306793451309204,-0.5920047760009766,0.30749428272247314
1712835420435858700,1.294858642578125,-1.0655016899108887,0.4415792226791382,-0.08651378750801086
1712835420455858700,1.314858642578125,-0.6287330389022827,1.5857298374176025,-0.43043091893196106
